qPE,fprompt,subeventN,eventTime,numEarlyPulses,fmaxpe,neckVetoN,chargetopring,chargesecondring,chargebottomring,chargesecondbottomring,chargethirdbottomring,pulseindexfirstgar,nSCBayes,rprompt60Bayes,mblikelihoodX,mblikelihoodY,mblikelihoodZ,mblikelihoodR,timefit2X,timefit2Y,timefit2Z,deltat,ar40recoils,multiplerecoils
300.968,0.461486,1,2402.33,0,0.0639001,0,8.07667,4.20847,1.22762,7.6438,0.612517,0,255.856,0.265016,-87.1318,-182.406,246.674,318.923,-269.551,-136.292,420.967,2.72736e+10,13,1
84.0506,0.702648,1,2499.78,0,0.0401448,0,0.228619,2.58396,3.24981,2.71518,2.8847,8,85.5511,0.717568,289.992,-355.607,-493.633,673.962,323.323,-376.285,-401.536,3.69333e+09,1,0
11036.5,0.302961,1,2490.53,1,0.0234578,0,153.518,178.723,130.514,164.954,157.215,2,9576.47,0.285234,-485.45,-299.481,250.185,622.85,-518.251,-345.444,287.757,1.36536e+09,2,1
11342.2,0.306861,1,2515.09,0,0.0138147,0,137.056,151.525,352.252,413.799,382.142,15,9844.19,0.298222,-292.927,73.3852,-450.433,542.293,-328.331,116.363,-497.63,5.373e+09,5,1
12575.7,0.345765,1,2492.24,1,0.00684247,0,256.812,297.907,188.063,202.711,183.239,10,10885.8,0.320798,-3.64049,35.0595,134.513,139.054,462.012,-358.374,-244.939,3.78728e+10,18,1
5235.89,0.287546,1,2542.45,0,0.0218895,0,52.1514,54.1849,76.3427,98.2138,92.019,10,4502.12,0.271313,-556.852,-174.566,-280.036,647.285,-697.001,-200.444,-264.122,8.55883e+09,3,1
644.941,0.688974,1,2456.19,1,0.0200454,0,11.1813,6.56907,6.36017,14.1229,14.0752,12,598.949,0.624711,60.2091,-437.978,-327.032,549.909,100.443,-497.705,-424.321,1.20663e+10,8,1
26.4415,0.934869,1,2458.21,1,0.41478,0,0,0,1.36825,0,0,5,26.4017,0.960394,203.406,537.293,-626.296,849.885,-99999,-99999,-99999,2.18293e+10,1,0
11548,0.292801,1,2515.25,0,0.069492,0,126.183,153.201,152.726,223.948,204.335,3,10068.7,0.271045,578.299,233.883,-455.54,772.429,580.162,252.579,-453.665,1.68943e+10,2,1
64.334,0.684934,1,2482.34,0,0.0876293,0,1.09544,0,0.912147,0,0.873374,3,57.8498,0.765496,689.044,-277.547,-265.599,788.896,668.403,-316.351,-177.056,4.62385e+09,1,0
12901.8,0.347029,2,2539.07,0,0.00996089,0,174.716,188.641,302.338,412.348,397.336,4,11557.6,0.321212,165.462,66.0076,-324.44,370.13,-99999,-99999,-99999,8.01531e+09,19,1
530.058,0.694859,1,2490.56,0,0.0536423,0,5.97837,9.73417,9.52926,10.2764,1.8641,11,486.91,0.711833,517.957,-525.858,33.8386,738.885,521.398,-546.805,53.1936,2.17312e+09,1,0
1093.24,0.66307,1,2488.83,1,0.0184919,0,7.56184,14.8369,13.1766,12.5746,9.21818,0,958.594,0.709131,-98.5443,516.833,290.856,601.186,-69.5684,566.816,361.052,2.9009e+09,5,1
33627.6,0.276073,1,2539.84,0,0.0159457,0,442.213,524.49,448.64,525.63,499.364,13,29437,0.256439,508.265,246.628,-4.79354,564.961,548.199,271.924,-0.169242,5.5486e+10,2,1
662.965,0.73895,1,2497.83,0,0.0747701,0,11.4334,3.88183,5.65703,12.1806,16.7155,10,618.969,0.741378,638.642,206.029,-386.079,774.189,635.666,207.17,-372.637,1.15517e+10,2,1
12313.6,0.289358,1,2504.34,0,0.0322238,0,172.868,159.247,167.682,259.742,237.816,1,10687.1,0.278056,-533.209,351.329,-266.515,691.935,-592.821,415.088,-277.598,9.72092e+09,1,0
19012.3,0.275964,1,2505.89,0,0.0160065,0,255.4,228.696,473.983,618.392,560.356,0,16429.1,0.258052,376.204,-72.0173,-430.54,576.264,410.762,-103.094,-446.458,1.58756e+09,4,1
508.381,0.650808,1,2495.19,0,0.0491022,0,2.71707,7.97121,9.73461,11.2272,4.61581,1,452.948,0.709994,340.058,437.15,419.75,694.932,350.41,463.948,454.797,6.37268e+08,4,1
11162.7,0.277636,1,2500.69,0,0.064402,0,130.194,143.202,131.868,162.415,161.539,2,9653.85,0.257244,686.007,-200.069,-197.312,741.327,689.764,-227.723,-199.793,3.78942e+09,1,0
108.131,0.650215,1,2472.04,0,0.0434678,0,0,4.23314,0,2.30114,0.930177,3,104.367,0.606694,327.959,-535.452,93.3737,634.811,385.979,-653.913,160.169,1.67533e+10,2,1
10622.1,0.289593,1,2500.86,0,0.0213417,0,198.419,187.866,120.847,150.31,148.988,0,9172.7,0.270279,53.0145,-526.887,208.1,568.969,89.4404,-644.236,251.893,1.72158e+10,4,1
466.741,0.656804,1,2488.04,1,0.0854988,0,5.58873,7.69294,8.66296,3.81034,11.1687,4,417.56,0.701583,647.914,186.741,-434.723,802.278,635.752,186.749,-441.914,2.32625e+09,1,0
9074.92,0.263112,1,2469.83,0,0.0300359,0,74.5076,86.0289,123.092,119.064,142.091,2,7880.52,0.243139,256.288,630.582,-23.9636,681.095,279.735,674.39,-20.3188,3.16461e+08,1,0
5552.71,0.271099,1,2533.67,0,0.0741855,0,90.3651,60.0056,75.5201,104.225,94.4622,0,4750.73,0.263366,-207.287,661.734,-351.396,777.392,27.916,374.959,145.228,1.67552e+10,6,1
30069.9,0.287833,1,2529.31,0,0.0170411,0,423.768,428.101,445.963,537.356,486.782,15,26206.6,0.25002,316.47,377.399,-126.425,508.495,452.625,482.353,-255.664,5.06386e+09,16,1
15726.3,0.273283,1,2518.58,0,0.00985345,0,341.76,316.304,238.248,254.968,215.706,1,13591.8,0.258127,300.348,-59.268,178.804,354.531,422.335,-64.0248,259.278,9.31914e+09,6,1
9516.29,0.309183,1,2498.76,2,0.0453373,0,147.017,103.913,116.129,121.052,171.776,9,8282.8,0.287981,-410.505,627.722,-6.15997,750.058,-389.935,624.311,-7.23647,3.24121e+09,9,1
135.997,0.459915,1,2488.44,1,0.094063,0,0,0,0,1.70705,0,0,112.098,0.540438,-600.605,253.678,261.741,702.557,-707.876,316.455,304.422,4.52019e+09,2,1
182.878,0.495703,1,2453.05,0,0.26787,0,2.37972,1.93684,6.58067,1.3054,2.37625,0,140.992,0.605584,-758.571,-286.93,196.694,834.534,-734.914,-270.667,233.072,9.0806e+09,3,1
10637.9,0.278835,1,2494.97,0,0.0272444,0,121.263,147.811,154.924,161.268,151.928,0,9186.15,0.254864,-560.708,312.375,-147.006,658.47,-566.467,325.184,-140.311,1.1248e+10,5,1
10969.4,0.301682,1,2495.24,0,0.0155862,0,248.905,242.33,132.58,160.074,136.139,1,9512.19,0.286171,-339.897,201.901,325.135,511.866,-325.985,221.925,418.34,2.74962e+10,5,1
11188.7,0.280346,1,2491.62,1,0.00984828,0,185.307,181.301,207.256,223.391,226.708,11,9710.78,0.257991,407.353,-117.702,-118.035,440.139,-202.442,-604.664,-359.757,3.01373e+09,9,1
777.998,0.668645,1,2487.96,0,0.0327233,0,10.2747,7.67739,18.4805,17.2801,11.9155,3,695.059,0.658458,619.133,199.381,-163.851,670.765,703.977,187.794,-176.508,5.75036e+09,9,1
47.1978,0.537739,1,2455.2,0,0.117817,0,0,0,0,0,0,0,42.2286,0.561,-623.152,-365.396,447.872,849.954,-99999,-99999,-99999,2.94449e+09,2,1
10963.6,0.302079,1,2494.93,0,0.0135713,0,326.303,284.242,120.846,148.844,148.002,1,9565.81,0.260718,243.761,151.411,303.929,417.993,271.978,169.612,401.223,5.73394e+09,9,1
18591.3,0.291315,1,2513.52,0,0.0205443,0,265.959,219.541,1280.94,1042.91,797.97,2,16225.2,0.271323,12.5713,-39.0606,-586.757,588.19,95.535,-274.86,60.0082,6.11358e+09,8,1
8523.03,0.281521,1,2484.95,0,0.0309411,0,127.062,138.669,98.5004,105.605,108.021,1,7423.26,0.255004,580.981,-84.5516,353.808,685.469,614.487,-75.7642,368.44,4.01817e+09,4,1
11353.4,0.305702,1,2497.07,1,0.0211137,0,149.555,153.369,255.135,300.52,287.57,5,9778.64,0.283759,407.296,175.952,-389.117,590.137,434.266,228.088,-360.018,3.164e+10,10,1
730.524,0.657182,1,2495.24,0,0.0984163,0,5.58189,13.6625,6.25819,3.85785,7.70448,4,632.775,0.709456,-696.12,-245.76,420.526,849.602,-669.371,-248.299,387.247,6.72706e+09,3,1
25275.8,0.292422,1,2538.32,0,0.00711556,0,463.905,455.076,352.429,439.848,395.664,1,21982.5,0.274851,-22.1208,-252.856,47.2403,258.18,-12.2178,-302.446,108.134,3.55683e+09,16,1
212.454,0.611514,1,2400.91,0,0.0540539,0,4.98593,1.94885,0.675085,7.31489,3.41638,0,196.779,0.636808,-177.766,-450.75,249.781,545.13,-235.771,-460.866,205.387,1.38926e+09,2,1
2094.04,0.699081,1,2485.6,0,0.0300736,0,36.126,25.2844,38.8858,42.281,41.6802,3,1902.68,0.718595,71.4447,-529.902,-431.298,686.964,69.3827,-530.517,-453.768,1.28305e+10,12,1
1041.92,0.675115,1,2491.05,0,0.0884625,0,18.1978,5.76571,30.7711,30.9352,25.1016,12,932.085,0.709527,217.034,410.68,-663.503,809.937,205.48,435.91,-660.417,2.77609e+08,4,1
41778.8,0.273413,1,2537.58,0,0.0158678,0,850.278,969.81,517.093,585.739,562.148,1,36734.2,0.255014,-77.6015,-446.235,340.245,566.493,-97.6978,-556.777,510.568,1.22973e+10,2,1
18505.1,0.270371,1,2522.13,0,0.0681105,0,203.112,221.365,189.46,259.601,211.433,0,16146.7,0.247769,-683.415,15.5822,419.602,802.1,-625.566,30.1784,455.532,1.47417e+10,2,1
13866.3,0.221956,2,2490.23,1,0.0412817,0,173.903,160.067,611.596,856.264,824.504,6,9752.4,0.239331,269.065,-88.1163,-698.78,753.959,-99999,-99999,-99999,2.52394e+09,9,1
670.035,0.140342,2,2254.18,0,0.0313102,0,14.2833,13.1689,6.18998,12.2444,13.0977,0,551.03,0.077393,-337.497,-4.02605,-67.5672,344.218,-99999,-99999,-99999,3.67971e+09,14,1
135.159,0.720094,1,2491.58,0,0.0567922,0,5.33199,6.00589,0.36886,7.29461,0,0,125.503,0.713377,29,-279.205,486.157,561.377,95.6212,-191.025,367.456,8.33326e+09,1,0
85.7707,0.599718,1,2486.11,0,0.0625696,0,0.898927,1.16331,3.12888,0,0.849366,10,84.8771,0.58223,-592.909,371.551,-381.804,797.098,-603.306,332.301,-251.594,3.58131e+10,1,0
