qPE,fprompt,subeventN,eventTime,numEarlyPulses,fmaxpe,neckVetoN,chargetopring,chargesecondring,chargebottomring,chargesecondbottomring,chargethirdbottomring,pulseindexfirstgar,nSCBayes,rprompt60Bayes,mblikelihoodX,mblikelihoodY,mblikelihoodZ,mblikelihoodR,timefit2X,timefit2Y,timefit2Z,deltat,ar40recoils,multiplerecoils
15777.1,0.273658,1,2508,0,0.0737131,0,152.56,189.152,218.898,232.231,245.917,24,13801.5,0.248707,-298.927,-709.205,-141.319,782.496,-99999,-99999,-99999,461621000,0,0
757.413,0.714489,1,2493.06,0,0.0416619,0,9.48305,5.38556,11.9098,12.9318,6.532,0,702.295,0.714174,-602.989,-189.55,379.239,737.121,-591.826,-208.332,414.273,0,2,1
134.226,0.663501,1,2508.66,1,0.0922091,0,0,1.02593,1.11011,4.0437,1.03602,2,133.499,0.683043,-189.119,667.024,-355.561,779.173,-213.983,673.739,-364.687,1746970000,1,0
155.9,0.411223,1,2437.58,0,0.101311,0,1.2077,0,0,2.82115,2.62142,1,119.29,0.487191,124.727,-666.81,403.439,789.276,58.0189,-670.324,495.803,4232680000,5,1
2210.31,0.269684,1,2529.94,0,0.0902797,0,29.1163,36.467,34.0651,33.5213,32.1159,4,1907.78,0.243257,103.955,-783.356,-253.626,829.928,83.2023,-773.752,-254.356,2912750000,0,0
24.4362,1,1,2453.62,0,0.159638,0,0,0,0,0,1.1519,256,24.2569,0.983199,506.528,240.212,-638.505,849.683,-99999,-99999,-99999,3057970000,0,0
14241.1,0.268452,1,2524.33,0,0.0180561,0,246.173,305.716,178.04,190.279,172.356,1,12307.6,0.246799,461.583,-33.5072,363.905,588.735,499.851,-16.7643,389.23,963607000,0,0
33763.7,0.270977,1,2525.36,0,0.0103562,0,408.367,439.008,1373.93,1345.47,1251.94,0,29626.1,0.251888,66.4433,-131.511,-472.691,495.123,84.4214,-162.492,-479.058,0,0,0
450.761,0.313114,1,2421.36,0,0.0172848,0,18.7243,16.3682,6.00138,5.49652,5.22257,0,412.353,0.284859,-140.778,6.65555,288.977,321.513,-330.111,-42.9551,470.836,230691000,0,0
38042.3,0.272578,1,2539.55,1,0.010692,0,740.562,659.436,581.995,720.694,592.888,1,33037.9,0.258023,-153.269,-326.976,99.9338,374.688,-190.458,-384.488,158.27,3351360000,0,0
94.4616,0.455545,1,2447.2,0,0.045717,0,1.44634,2.6858,1.02868,3.01243,0.956061,5,93.3082,0.263028,-628.128,-264.682,150.336,697.998,79.527,-385.177,-205.345,1109960000,5,1
22.1004,0.950323,1,2472,0,0.892692,0,0,0,0,0,0,256,21.8464,0.997126,85.4249,-781.086,-324.193,849.997,-99999,-99999,-99999,2951510000,0,0
1278.74,0.290139,1,2506.18,1,0.0974611,0,8.72213,11.4441,32.4431,23.8628,27.7332,16,1111.27,0.261761,-760.371,-223.72,-212.191,820.512,-737.234,-211.402,-230.103,527606000,0,0
3557.74,0.675388,1,2445.96,0,0.0246349,0,45.3766,39.6751,57.5487,45.2456,55.07,0,3150.86,0.52456,-563.951,-247.643,-153.378,634.738,-726.224,-67.0976,-27.0253,145383000,20,1
274.172,0.642515,1,2473.18,0,0.0358111,0,2.57826,3.92259,5.55205,2.95078,5.19982,8,263.498,0.657471,-279.049,639.675,-15.063,698.054,-299.83,647.409,16.4666,2433570000,4,1
223.9,0.394738,1,2323.79,0,0.049912,0,4.55924,12.7145,2.5164,0.931488,4.74034,3,193.86,0.283488,-234.95,352.195,226.569,480.184,-214.862,232.176,307.432,311661000,10,1
2357.72,0.579769,1,2421.13,0,0.0137692,0,41.8811,28.2308,34.5637,35.1695,25.3482,0,2001.1,0.388565,-53.3276,383.479,144.447,413.237,136.112,574.748,391.839,0,13,1
25528.5,0.283424,1,2526.04,0,0.0240407,0,296.179,322.54,387.886,359.804,409.229,1,22309.6,0.259474,298.689,-566.078,-21.1926,640.397,298.771,-596.236,-24.673,330626000,11,1
344.731,0.694796,1,2500.31,0,0.0275541,0,6.61178,7.97004,10.6962,3.09837,4.3865,1,331.244,0.70282,444.352,20.9735,250.664,510.609,449.548,-33.3404,365.218,766782000,2,1
15330.4,0.272638,1,2513.81,0,0.0786999,0,156.878,167.414,398.004,560.262,435.618,8,13486.6,0.250009,460.32,29.6575,-671.154,814.384,457.747,24.8272,-635.253,100084000,0,0
4331.34,0.437499,1,2471.37,0,0.0102041,0,130.32,128.114,54.4208,72.0017,53.491,0,3778.66,0.425401,132.362,-19.1494,263.628,295.611,-6.76617,-173.025,181.716,1471190000,13,1
1575.85,0.266734,1,2532.47,0,0.0941603,0,19.6174,10.765,24.5833,11.1287,14.9028,7,1363.47,0.244676,355.901,711.995,-126.028,805.906,346.393,724.032,-106.025,92706600,0,0
28.3641,0.80641,1,2466.78,0,0.129313,0,0,0,0,0,0,0,28.7731,0.85158,-459.501,-367.553,613.153,849.82,-99999,-99999,-99999,250139000,0,0
1720.83,0.290536,1,2521.21,1,0.137398,0,26.7891,19.8212,74.3758,284.262,97.9386,7,1509.4,0.264472,136.923,-296.14,-759.881,826.962,141.252,-323.865,-735.064,3642060000,0,0
25880.4,0.2682,1,2538.9,0,0.0258303,0,320.443,285.412,412.484,430.894,390.603,2,22514.7,0.254748,527.45,-372.943,-88.9243,652.071,548.139,-400.053,-100.48,423336000,0,0
1396.86,0.529505,1,2457.88,0,0.0692878,0,32.0438,8.4228,63.2517,94.1554,121.49,3,1226.82,0.519242,-327.085,-47.7037,-707.214,780.648,-312.64,-96.4472,-730.009,0,21,1
28880.6,0.286108,1,2531.16,0,0.0292184,0,417.098,407.299,361.189,414.644,393.24,1,25243.7,0.275595,-93.4914,-604.354,271.109,668.943,-81.2156,-596.828,303.106,1544790000,5,1
650.502,0.719642,1,2509.49,0,0.112895,0,9.39175,7.19934,5.97333,12.2913,9.17499,0,606.538,0.738322,522.446,590.407,105.678,795.423,361.943,727.276,66.1748,1249300000,3,1
238.571,0.64725,1,2482.76,0,0.17504,0,3.6472,1.06885,2.1639,3.35902,6.65623,0,213.612,0.6911,209.827,-660.475,492.085,849.942,195.55,-625.592,513.416,666956000,1,0
7038.56,0.296049,1,2486.66,0,0.0428714,0,101.396,85.4427,125.599,124.921,109.307,0,6072.48,0.285118,-371.466,542.529,-303.249,724.074,-369.316,565.962,-309.178,334467000,1,0
